Estado,Fecha,Positivos,Negativos,Sospechosos,Defunciones,Inconsistencias
AGU,2020-04-05,49,378,122,0,
BCN,2020-04-05,69,360,201,6,
BCS,2020-04-05,28,180,92,2,
CAM,2020-04-05,8,39,10,0,
COA,2020-04-05,82,439,222,4,
COL,2020-04-05,4,40,19,0,
CHP,2020-04-05,25,128,52,0,
CHH,2020-04-05,15,85,29,0,
CMX,2020-04-05,560,1382,697,19,
DUR,2020-04-05,12,99,48,3,
GUA,2020-04-05,53,924,162,0,
GRO,2020-04-05,30,160,112,2,
HID,2020-04-05,34,227,73,5,
JAL,2020-04-05,123,1036,774,6,
MEX,2020-04-05,204,745,434,3,
MIC,2020-04-05,30,222,49,3,
MOR,2020-04-05,15,126,45,3,
NAY,2020-04-05,9,84,18,1,
NLE,2020-04-05,91,819,203,2,
OAX,2020-04-05,25,198,30,1,
PUE,2020-04-05,147,346,199,1,
QUE,2020-04-05,38,247,37,2,
ROO,2020-04-05,86,214,110,4,
SLP,2020-04-05,37,407,111,2,
SIN,2020-04-05,90,242,248,12,
SON,2020-04-05,28,227,114,1,
TAB,2020-04-05,97,313,342,4,
TAM,2020-04-05,26,156,67,1,
TLA,2020-04-05,11,153,72,0,
VER,2020-04-05,40,280,404,3,
YUC,2020-04-05,67,262,68,2,
ZAC,2020-04-05,10,164,45,2,
TOT,2020-04-05,2143,10682,5209,94,
